Node,Is Injection,Is Hvdc,Bus Id,Location Name,Load Area,Island Name,Region,Generation Type
ROT0111,F,F,ROT0111,ROT,Bay of Plenty,North Island,Bay Of Plenty,Load
ROT0331,F,F,ROT0331,ROT,Bay of Plenty,North Island,Bay Of Plenty,Load
ROT1101 WHE0,T,F,ROT1101,ROT,Bay of Plenty,North Island,Bay Of Plenty,Hydro
ROT1101,F,F,ROT1101,ROT,Bay of Plenty,North Island,Bay Of Plenty,Load
ROX1101 ROX0,T,F,ROX1101,ROX,Southland Otago,South Island,Otago/Southland,Hydro
ROX2201,F,F,ROX2201,ROX,Southland Otago,South Island,Otago/Southland,Load
ROX2201 ROX0,T,F,ROX2201,ROX,Southland Otago,South Island,Otago/Southland,Hydro
RPO2201,F,F,RPO2201,RPO,Waikato Taupo King Country,North Island,Central,Load
RPO2201 RPO0,T,F,RPO2201,RPO,Waikato Taupo King Country,North Island,Central,Load
SBK0331,F,F,SBK0331,SBK,Canterbury,South Island,Canterbury,Load
SDN0331,F,F,SDN0331,SDN,Southland Otago,South Island,Otago/Southland,Load
SFD0331,F,F,SFD0331,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
SFD2201 SFD21,T,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
SFD2201 SFD22,T,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
SFD2201 SPL9,T,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
SFD2201 SFD4,T,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
SFD2201 SFD3,T,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
SFD2201 SFD2,T,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
SFD2201 SFD1,T,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
SFD2201 SFD0,T,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
SFD2201,F,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Load
SFD2201 SPL0,T,F,SFD2201,SFD,Taranaki Wanganui Manawatu Horowhenua,North Island,Taranaki,Gas
SPN0331,F,F,SPN0331,SPN,Canterbury,South Island,Canterbury,Load
SPN0661,F,F,SPN0661,SPN,Canterbury,South Island,Canterbury,Load
STK0331,F,F,STK0331,STK,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
STU0111,F,F,STU0111,STU,Southland Otago,South Island,South Canterbury,Load
SVL0331,F,F,SVL0331,SVL,Northland,North Island,North Isthmus,Load
SWN2201 SWN5,T,F,SWN2201,SWN,Auckland,North Island,Auckland,Gas
SWN2201 SWN0,T,F,SWN2201,SWN,Auckland,North Island,Auckland,Gas
SWN2201,F,F,SWN2201,SWN,Auckland,North Island,Auckland,Load
TAK0331,F,F,TAK0331,TAK,Auckland,North Island,Auckland,Load
TGA0111,F,F,TGA0111,TGA,Bay of Plenty,North Island,Bay Of Plenty,Load
TGA0331 KMI0,T,F,TGA0331,TGA,Bay of Plenty,North Island,Bay Of Plenty,Hydro
TGA0331 TGA0,T,F,TGA0331,TGA,Bay of Plenty,North Island,Bay Of Plenty,Hydro
TGA0331 RHI0,T,F,TGA0331,TGA,Bay of Plenty,North Island,Bay Of Plenty,Hydro
TGA0331 LMG0,T,F,TGA0331,TGA,Bay of Plenty,North Island,Bay Of Plenty,Hydro
TGA0331 LMD0,T,F,TGA0331,TGA,Bay of Plenty,North Island,Bay Of Plenty,Hydro
TGA0331,F,F,TGA0331,TGA,Bay of Plenty,North Island,Bay Of Plenty,Load
TIM0111,F,F,TIM0111,TIM,Canterbury,South Island,South Canterbury,Load
